0:0:0:0:0:0:0:1 - - [20/Jul/2023:13:07:45 +0900] "GET /jQuery_Ajax/images/workplace.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/jquery/ex28__banner.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/tree-1.jpg HTTP/1.1" 200 94974
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/tree-2.jpg HTTP/1.1" 200 56151
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/prev_btn.png HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/tree-4.jpg HTTP/1.1" 200 91064
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/tree-3.jpg HTTP/1.1" 200 64419
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/tree-5.jpg HTTP/1.1" 200 73273
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:34:51 +0900] "GET /jQuery_Ajax/images/next_btn.png HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:16 +0900] "GET /jQuery_Ajax/jquery/ex28__banner.jsp HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:16 +0900] "GET /jQuery_Ajax/images/prev_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:16 +0900] "GET /jQuery_Ajax/images/next_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:51 +0900] "GET /jQuery_Ajax/jquery/ex28__banner.jsp HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:51 +0900] "GET /jQuery_Ajax/images/prev_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:37:51 +0900] "GET /jQuery_Ajax/images/next_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2023:14:38:29 +0900] "GET /jQuery_Ajax/jquery/ex28__banner.jsp HTTP/1.1" 200 1253
